#Drift velocities. Number of iterations per tau-value: 1000. Number of tau-values: 40
#tau_min: 0.1. tau_max: 4.
# tau        v_mean        v_std
0.1 0.000346728 0.000485544
0.2 0.00114652 0.000906614
0.3 0.0015752 0.0010426
0.4 0.00174805 0.00104498
0.5 0.00171542 0.00101097
0.6 0.00162267 0.00101111
0.7 0.00163835 0.00101387
0.8 0.00153278 0.000913609
0.9 0.00149292 0.000929375
1 0.00140919 0.000893253
1.1 0.00135014 0.000876393
1.2 0.00123121 0.000850621
1.3 0.00113841 0.000791178
1.4 0.00115198 0.000821518
1.5 0.00103936 0.000806565
1.6 0.00107812 0.000795303
1.7 0.00106245 0.000778897
1.8 0.000886054 0.000760751
1.9 0.000913293 0.000801605
2 0.000908683 0.000754128
2.1 0.000916716 0.000744167
2.2 0.000747002 0.000746286
2.3 0.000735621 0.000706385
2.4 0.000773309 0.000737164
2.5 0.000771116 0.000704376
2.6 0.000737086 0.000719608
2.7 0.000589647 0.000715717
2.8 0.000586427 0.000705931
2.9 0.000592323 0.000683137
3 0.000592713 0.000687539
3.1 0.000566442 0.000689291
3.2 0.000577921 0.000682939
3.3 0.000547594 0.000691721
3.4 0.000633432 0.000680465
3.5 0.000641988 0.00070441
3.6 0.000605698 0.000715473
3.7 0.000382702 0.000663158
3.8 0.000417569 0.000681378
3.9 0.000399652 0.000666023
4 0.000375825 0.000672727
